site,lat,lng,name,address,phone,email,web
"youngs","51.4567004","-0.18943030000002636","Brewers Inn","145-147 East Hill
Wandsworth
London
SW18 2QB","020 8874 4128","brewersinn@youngs.co.uk","https://www.brewersinn.co.uk/"
"youngs","51.38910899999999","-0.48802599999999074","Bridge, Chertsey","Bridge Road
Chertsey
Surrey
KT16 8JZ","019 3256 5644","bridgechertsey@youngs.co.uk","https://www.bridgehotelchertsey.com/"
"youngs","51.5365224","-0.3454407000000401","Bridge, Greenford","Western Avenue
Greenford
London
UB6 8ST","020 8566 6246","bridgehotel@youngs.co.uk","https://www.thebridgehotel.com/"
"youngs","51.49867159999999","-0.19537300000001778","Britannia","1 Allen Street
Kensington
London
W8 6UX","020 7937 6905","britannia@youngs.co.uk","http://www.britanniakensington.co.uk/"
"youngs","51.49662582635296","-0.22344696878667492","Brook Green","170 Shepherd's Bush Road
Hammersmith
London
W6 7PB","020 7603 2516","brookgreen@youngs.co.uk","https://www.brookgreenhotel.co.uk/"
"youngs","51.4992124","-0.1368324999999686","Buckingham Arms","62 Petty France
Westminster
London
SW1H 9EU","020 7222 3386","buckinghamarms@youngs.co.uk","https://www.buckinghamarms.com/"
"youngs","51.55179599999999","-0.14159199999994598","Bull and Gate","389 Kentish Town Road
Kentish Town
London
NW5 2TJ","020 3437 0905","bullandgate@youngs.co.uk","http://www.bullandgatenw5.co.uk/"
"youngs","51.4168444","-0.750788899999975","Bull, Bracknell","The Bull
56 High Street
Bracknell
RG12 1DP","\u202d013 4453 3016\u202c","Bullbracknell@youngs.co.uk","http://www.bullbracknell.co.uk/"
"youngs","50.921124","-0.114703","Bull, Ditchling","2 High St
Ditchling
Hassocks
BN6 8TA","01273 843147","bullditchling@youngs.co.uk","https://thebullditchling.com/"
"youngs","51.419444","-0.12830099999996492","Bull, Streatham","498 Streatham High Road
Streatham
London
W16 3QB","020 8764 4003","thebullstreatham@youngs.co.uk","https://www.thebullstreatham.co.uk/"
"youngs","51.50641400000001","-0.2202629999999317","Bull, Westfield","The Bull Westfield
Unit 1033
Westfield Shopping Centre
Ariel Way
Shepherd's Bush
W12 7SL","020 8819 8903","bull@youngs.co.uk","http://www.thebullwestfield.com/"
"youngs","51.4737622","-0.2510363999999754","Bull’s Head, Barnes","The Bulls Head
373 Lonsdale Road
Barnes
London
SW13 9PY","020 8876 5241","bullshead@youngs.co.uk","http://www.thebullsheadbarnes.com/"
"youngs","51.4109689","0.07671049999999013","Bull’s Head, Chislehurst","Royal Parade
Chislehurst
Kent
BR7 6NR","020 8467 1727","bullshead@youngs.co.uk","https://www.thebullsheadhotel.co.uk/"
"youngs","51.505027","-0.08915960000001633","Bunch of Grapes","2 St Thomas Street
London
SE1 9RS","020 7403 2070","bunchofgrapes@youngs.co.uk","http://www.bunchofgrapesborough.co.uk/"
"youngs","51.41358959999999","-0.295125","Canbury Arms","The Canbury Arms,
49 Canbury Park Rd,
Kingston upon Thames
KT2 6LQ","020 8255 9129","info@canburyarmskingston.co.uk","https://www.canburyarmskingston.co.uk/"
"youngs","51.5117208","-0.09013559999993959","Candlemaker","99 Cannon Street
Walbrook Building
London
EC4N 5AE","020 3437 1419","candlemaker@youngs.co.uk","https://www.candlemakerpub.co.uk/"
"youngs","50.70342369999999","-1.9226035","Canford","53 Cliff Drive
Canford Cliffs
Poole
BH13 7JF","01202 701531","thecanford@youngs.co.uk","https://www.thecanford.co.uk/"
"youngs","51.54601478768334","-0.10462760925292969","Canonbury","21 Canonbury Place
London
N1 2NS","020 7704 2887","canonbury@youngs.co.uk","http://www.thecanonbury.co.uk/"
"youngs","51.3341293","-1.3443763000000217","Carnarvon Arms","Winchester Road
Whitway
Newbury
RG20 9LE","01635 278 222","carnarvonarms@youngs.co.uk","https://thecarnarvonarmshotel.com/"
"youngs","51.2129806","0.3151664","Carpenters Arms","Three Elm Lane
Tonbridge
TN11 0AD","01732850307","carpentersarms@youngs.co.uk","https://www.carpentersarms.net/"
"youngs","51.53182289999999","-0.10914120000006733","Castle, Islington","54 Pentonville Road
Islington
London
N1 9HF","020 7713 1858","castle@youngs.co.uk","http://www.thecastleislington.co.uk/"
"youngs","51.4285732","-0.16770410000003722","Castle, Tooting","38 Tooting High Street
Tooting Broadway
London
SW17 0RG","020 8672 7018","castletooting@youngs.co.uk","https://www.castletooting.com/"
"youngs","51.4791698","-0.18259530000000268","Chelsea Ram","32 Burnaby Street
Chelsea
London
SW10 0PL","020 7351 4008","chelsearam@youngs.co.uk","https://www.thechelsearam.co.uk/"
"youngs","51.4280109","-2.507523900000024","Chequers, Bristol","Ferry Road
Hanham Mills
Bristol
BS15 3NU","011 7329 1711","chequershanhammills@youngs.co.uk","https://www.thechequershanhammills.co.uk/"
"youngs","51.2772029","-0.25043080000000373","Chequers, Walton On The Hill","Chequers Lane
Walton on the Hill
Surrey
KT20 7SF","017 3781 2364","chequers@youngs.co.uk","https://www.chequerspub.co.uk/"
"youngs","51.461545","-0.07902000000001408","Cherry Tree","31-33 Grove Vale
Dulwich
South London
London
SE22 8EQ","0208 693 9285","cherrytree@youngs.co.uk","https://thecherrytreedulwich.co.uk/"
"youngs","50.7236933","-3.5348533999999745","City Gate","1 Iron Bridge
Lower North Street
Exeter
EX4 3RB","013 9249 5811","citygateevents@youngs.co.uk","https://www.citygatehotel.com/"
"youngs","51.506134","-0.12679100000002563","Clarence","53 Whitehall
Westminster
London
SW1A 2HP","020 7930 4808","clarence@youngs.co.uk","http://www.theclarencewhitehall.com/"
"youngs","51.45889930000001","-0.06635830000004717","Clockhouse","The Clockhouse
196A Peckham Rye
East Dulwich
London
SE22 9QA","020 8693 2901","clockhouse@youngs.co.uk","http://clockhousepub.com"
"youngs","51.481303","-0.009065999999961605","Coach & Horses Greenwich","The Coach & Horses
Greenwich Market
Central London\t
London\t
SE10 9HZ","020 8293 0880","coachandhorsesgreenwich@youngs.co.uk","https://the-coach-and-horses.co.uk/"
"youngs","51.4735538","-0.25005829999997786","Coach and Horses, Barnes","27 Barnes High Street
Barnes
London
SW13 9LW","020 8876 2695","coachandhorsesbarnes@youngs.co.uk","https://www.coachandhorsesbarnes.co.uk/"
"youngs","51.479496","-0.32015179999996235","Coach and Horses, Isleworth","183 London Road
Isleworth
TW7 5BQ","0208 181 5627","coachandhorsesisleworth@youngs.co.uk","http://www.coachandhorsesisleworth.co.uk/"
"youngs","51.4832509","-0.28640980000000127","Coach and Horses, Kew","8 Kew Green
Kew
Surrey
TW9 3BH","020 8940 1208","coachandhorses@youngs.co.uk","https://www.coachhotelkew.co.uk/"
"youngs","51.4645","-0.2166220000000294","Coat and Badge","8 Lacy Road
London
SW15 1NL","020 8788 4900","coatandbadge@youngs.co.uk","https://www.thecoatandbadge.co.uk/"
"youngs","51.5269959","-0.030031099999973776","Coborn","8 Coborn Road
Bow
London
E3 2DA","020 8980 3793","coborn@youngs.co.uk","https://www.thecoborn.co.uk/"
"youngs","51.4814139","-0.19939769999996315","Cock Tavern","360 North End Road
Fulham
SW6 1LY","020 7385 6021","cocktavern@youngs.co.uk","https://www.cocktavern.co.uk/"
"youngs","51.4862043","-0.1651716999999735","Coopers Arms","87 Flood Street
Chelsea
London
SW3 5TB","020 7376 3120","coopersarms@youngs.co.uk","http://www.coopersarms.co.uk/"
"youngs","51.4501296","-0.17431069999997817","County Arms","345 Trinity Road
Wandsworth
London
SW18 3SH","020 8874 8532","countyarmsevents@youngs.co.uk","https://www.countyarms.co.uk/"
"youngs","51.5421357","-0.008188199999949575","Cow","4 Chesnut Plaza
Montfichet Road
London
E20 1GL","020 8291 8644","cow@youngs.co.uk","http://www.thecowwestfield.co.uk/"
"youngs","51.4214594","-0.22778070000003936","Crooked Billet","14 \u2013 15 Crooked Billet
Wimbledon
London
SW19 4RQ","020 8946 4942","crookedbillet@youngs.co.uk","http://www.thecrookedbilletwimbledon.com/"
"youngs","50.81920409999999","-0.8151328999999805","Crown and Anchor","Dell Quay Road
Apuldram
Chichester
PO20 7EE","012 4378 1712","crownandanchor@youngs.co.uk","https://www.crownandanchorchichester.com/"
"youngs","51.7054004","-2.1864619","Crown Inn","The Crown Inn,
Minchinhampton,
Stroud,
GL6 9BN","01453 608010","bookings.crownminchinhampton@youngs.co.uk","https://www.thecrown-minchinhampton.com/"
"youngs","51.53290299999999","-0.04166250000002947","Crown, Bow","223 Grove Road,
London,
E3 5SN","020 8880 7261","crown@youngs.co.uk","http://www.thecrownbow.co.uk/"
"youngs","51.39240629999999","-0.5028886000000057","Crown, Chertsey","7 London Street
Chertsey
Surrey
KT16 8AP","019 3256 4657","crownhotel@youngs.co.uk","https://www.crownchertsey.co.uk/"
"youngs","51.4436591","0.01769519999993463","Crown, Lee","117 Burnt Ash Hill
Lee
London
SE12 0AJ","020 8857 6607","thecrownlee@youngs.co.uk","http://www.thecrownlee.co.uk/"
"youngs","51.4513322","-0.3186027","Crown, Twickenham","The Crown
174 Richmond Rd
Twickenham
Middlesex
TW1 2NH","020 8892 5896","info@crowntwickenham.co.uk","https://www.crowntwickenham.co.uk/"
"youngs","51.48937549999999","-0.2094845000000305","Curtains Up","28a Comeragh Road
London
W14 9HR","020 7386 7543","curtainsup@youngs.co.uk","http://www.thecurtainsup.co.uk/"
"youngs","51.48641110000001","-0.00042719999999007996","Cutty Sark","4-6 Ballast Quay
Greenwich
London
SE10 9PD","020 8858 3146","cuttysark@youngs.co.uk","https://www.cuttysarkse10.co.uk/"
"youngs","51.5052655","-0.22439570000005915","Defectors Weld","170 Uxbridge Road
London
W12 8AA","020 8749 0008","defectorsweld@youngs.co.uk","http://www.defectors-weld.co.uk/"
"youngs","51.4616765","0.026499300000068615","Depot","The Depot, 7 Peglar Square, Kidbrooke Village, London, SE3 9FW","020 3437 1410","thedepot@youngs.co.uk","https://www.thedepotpub.co.uk/"
"youngs","51.4468816","-0.1489905999999337","Devonshire","39 Balham High Road
Balham
London
SW12 9AN","020 8673 1363","Devonshire@youngs.co.uk","https://www.devonshirebalham.co.uk/"
"youngs","51.4925635","0.06995499999993626","Dial Arch","Riverside
The Warren Royal Arsenal
No 1 Street
London
SE18 6GH","020 3031 0700","dialarch@youngs.co.uk","https://www.dialarch.com/"
"youngs","51.5179993","-0.07941219999997884","Dirty Dicks","202 Bishopsgate
City of London
EC2M 4NR","020 7283 5888","dirtydicks@youngs.co.uk","http://www.dirtydicks.co.uk/"
"youngs","51.4252024","-0.21775500000001102","Dog and Fox","24 High Street Wimbledon Village
Wimbledon
London
SW19 5EA","020 8946 6565","dogandfox@youngs.co.uk","https://www.dogandfoxwimbledon.co.uk/"
"youngs","51.2336616","-0.266115500000069","Dolphin","The Dolphin
The Street
Betchworth
Surrey
RH3 7DW","017 3784 2288","dolphin@youngs.co.uk","http://www.dolphinbetchworth.com/"
"youngs","50.6999776","-3.512781000000018","Double Locks","Canal Banks
Exeter
EX2 6LT","013 9225 6947","doublelocks@youngs.co.uk","http://www.doublelocks.com/"
"youngs","51.5463526","-0.10875429999998687","Duchess of Kent","441 Liverpool Road
London
N7 8PR","020 7609 7104","duchessofkent@youngs.co.uk","http://www.theduchessofkent.co.uk/"
"youngs","51.4729422","-0.16578920000006292","Duke of Cambridge","The Duke of Cambridge
228 Battersea Bridge Rd
Battersea
London
SW11 3AA","020 7223 5662","dukeofcambridge@youngs.co.uk","http://www.thedukeofcambridge.com/"
"youngs","51.490939","-0.18254699999999957","Duke of Clarence","Duke of Clarence
148 Old Brompton Rd
Kensington
London
SW5 0BE","020 7373 1285","dukeofclarence@youngs.co.uk","https://www.thedukeofclarencesw5.co.uk/"
"youngs","51.5151851","-0.20477900000003046","Duke of Wellington","The Duke of Wellington
179 Portobello Rd
London
W11 2ED","020 7727 6727","dukeofwellington@youngs.co.uk","https://www.thedukeofwellingtonpub.com/"
"youngs","51.4726045","-0.19951019999996333","Duke on the Green","Duke on the Green
235 New King's Rd
Fulham
London
SW6 4XG","020 7736 2777","dukeonthegreen@youngs.co.uk","https://www.dukeonthegreen.co.uk/"
"youngs","51.4672111","-0.21708569999998417","Duke’s Head, Putney","Duke's Head, Putney
8 Lower Richmond Rd
London
SW15 1JN","020 8788 2552","dukesheadputney@youngs.co.uk","https://www.dukesheadputney.com/"
"youngs","51.3667269","-0.15379589999997734","Duke’s Head, Wallington","The Green
6 Manor Rd
Wallington
SM6 0AA","020 8401 7410","dukeshead@youngs.co.uk","https://www.dukesheadsurrey.co.uk/"
"youngs","51.23815019999999","-2.992915899999957","Dunstan House Inn","8-10 Love Lane
Burnham-on-Sea
Somerset
TA8 1EU","012 7878 4343","dunstanhouseinn@youngs.co.uk","http://www.dunstanhouseinn.co.uk/"
"youngs","51.50060909999999","-0.23930440000003728","Eagle","Eagle
215 Askew Rd
Shepherd's Bush
London
W12 9AZ","020 8746 0046","eagle@youngs.co.uk","https://www.theeaglew12.co.uk/"
"youngs","51.4586874","-0.18576550000000225","East Hill","East Hill
21 Alma Rd
Wandsworth
London
SW18 1AA","020 8874 1833","easthill@youngs.co.uk","http://www.theeasthill.co.uk/"
"youngs","51.51619789999999","-0.20892189999995026","Elgin","96 Ladbroke Grove
London
W11 1PY","020 7229 5663","elgin@youngs.co.uk","http://www.theelginnottinghill.co.uk"
"youngs","51.49070989999999","0.0028108","Enderby House","Enderby House, 23 Telegraph Avenue,
Greenwich,
London,
SE10 0TH","02088976755","enderbyhouse@youngs.co.uk","https://www.enderbyhousepub.co.uk/"
"youngs","51.53164","-0.12226399999997284","Fellow","24 York Way
London
N1 9AA","020 7833 4395","fellow@youngs.co.uk","https://www.thefellow.co.uk/"
"youngs","51.4810106","-0.1182163999999375","Fentiman Arms","64 Fentiman Road
London
SW8 1LA","020 7793 9796","fentimanarms@youngs.co.uk","http://www.thefentimanarms.co.uk/"
"youngs","51.52174489999999","-0.0873693999999432","Finch’s","12A Finsbury Square
London
EC2A 1AN","020 7588 3311","finchs@youngs.co.uk","http://www.finchspub.co.uk/"
"youngs","51.42609900000001","-0.2171690000000126","Fire Stables","27-29 Church Road
Wimbledon
London
SW19 5DQ","020 8946 3197","firestables@youngs.co.uk","https://www.firestables.co.uk/"
"youngs","51.5565897","-0.177342","Flask","14 Flask Walk
Hampstead
London
NW3 1HE","020 7435 4580","flask@youngs.co.uk","https://www.theflaskhampstead.co.uk/"
"youngs","51.359748","-0.34534389999998893","Foley","106 Hare Lane
Claygate
Surrey
KT1 0LZ","013 7246 2021","thefoley@youngs.co.uk","https://www.thefoley.co.uk/"
"youngs","51.50850879999999","-0.10161010000001625","Founder’s Arms","52 Hopton Street
London
SE1 9JH","020 7928 1899","foundersarms@youngs.co.uk","https://www.foundersarms.co.uk/"
"youngs","51.52021739999999","-0.10068380000006982","Fox and Anchor","Fox and Anchor
115 Charterhouse St
London
EC1M 6AA","020 7250 1300","foxandanchor@youngs.co.uk","https://www.foxandanchor.com/"
"youngs","51.8991888","-2.0815998","George","St George's Road
Cheltenham
Gloucestershire
GL50 3DZ","01242650675","bookings.georgecheltenham@youngs.co.uk","https://www.culthotels.com/"
"youngs","51.5345458","-0.2608684","Grand Junction Arms","Acton Lane,
Canal Bridge,
Park Royal,
London,
NW10 7AD","020 8161 0035","grandjunctionarms@youngs.co.uk","https://www.thegrandjunctionarms.co.uk/"
"youngs","51.50830939999999","-0.29614839999999276","Grange","Warwick Road
Ealing
W5 3XH","020 8567 7617","grange@youngs.co.uk","https://www.grangeealing.co.uk/"
"youngs","51.197178","-0.545704","Grantley Arms","The Grantley Arms,
The Street,
Wonersh,
Guildford,
Surrey,
GU5 0PE","01483 893351","info@thegrantleyarms.co.uk","https://www.thegrantleyarms.co.uk/"
"youngs","51.4534488","-0.221626399999991","Green Man","Wildcroft Rd
London
SW15 3NG","0208 788 8096","greenman@youngs.co.uk","http://www.greenmanputney.co.uk/"
"youngs","51.3650523","-0.16432989999998426","Greyhound","High Street
Carshalton
Surrey
SM5 3PE","020 8647 1511","greyhound@youngs.co.uk","https://www.thegreyhoundhotel.com/"
"youngs","50.993619","0.03456","Griffin Inn","The Griffin
Fletching
East Sussex
TN22 3SS","01825722890","griffininn@youngs.co.uk","https://www.thegriffininn.co.uk/"
"youngs","51.5197509","-0.07591579999996156","Grocer","The Grocer
Spitalfields Market
Crispin Place
London
E1 6DW","020 3437 0005","grocer@youngs.co.uk","http://www.thegrocerspitalfields.co.uk/"
"youngs","51.4484789","-0.1510164999999688","Grove, Balham","39 Oldridge Road
Balham
London
SW12 8PN","020 8673 6531","grovebalham@youngs.co.uk","https://www.grovebalham.com/"
"youngs","50.67614218257918","-3.9203380296875223","Grove, Exmouth","The Grove
Esplanade
Exmouth
EX8 1BJ","013 9527 2101","groveexmouth@youngs.co.uk","http://www.groveexmouth.co.uk/"
"youngs","51.4919498","0.06918300000006639","Guardhouse","No 1 Street
Woolwich Arsenal
London
SE18 6GH","020 3437 0900","guardhouse@youngs.co.uk","http://www.theguardhousewoolwich.co.uk/"
"youngs","51.51108809999999","-0.14500629999997727","Guinea Grill","30 Bruton Place
Mayfair
London
W1J 6NL","020 7409 1728","guinea@youngs.co.uk","https://www.theguinea.co.uk/"
"youngs","51.4672964","-0.22014179999996486","Half Moon","93 Lower Richmond Road
Putney
London
SW15 1EU","020 8780 9383","halfmoon@youngs.co.uk","http://halfmoon.co.uk/"
"youngs","51.364405","-0.6647903","Half Moon, Windlesham","Church Road,
Windlesham
GU20 6BN,
United Kingdom","01276473329","halfmoonwindlesham@youngs.co.uk","https://www.thehalfmoonwindlesham.com/"
"youngs","51.4416869","-0.18735579999997753","Halfway House","521 Garratt Lane\t
Earlsfield\t
London\t\t
SW18 4SR","020 8946 2788","halfwayhouse@youngs.co.uk","https://www.thehalfway.com/"
"youngs","51.4923446","-0.22830229999999574","Hammersmith Ram","81 King Street
London
W6 9HW","020 8478 4511","hammersmithram@youngs.co.uk","https://www.thehammersmithram.co.uk/"
"youngs","51.3624643","-0.45912910000004103","Hand and Spear","Old Heath Road
Weybridge
Surrey
KT13 8TX","019 328 28063","handandspear@youngs.co.uk","https://www.handandspear.co.uk/"
"youngs","51.4215811","-0.2272118999999293","Hand in Hand","6 Crooked Billet
Wimbledon
London
SW19 4RQ","020 8946 5720","HandinHand@youngs.co.uk","http://www.thehandinhandwimbledon.co.uk/"
"youngs","51.4650154","-0.2646035000000211","Hare and Hounds","214-216 Upper Richmond Road
East Sheen
London
SW14 8AH","020 8876 4304","hareandhounds@youngs.co.uk","http://www.theharesheen.com/"
"youngs","51.4614547","-2.6024810999999772","Highbury Vaults","164 St Michaels Hill
Bristol
BS2 8DE","011 7973 3203","highburyvaults@youngs.co.uk","https://www.highburyvaults.co.uk/"
"youngs","51.9230673","-1.8682465","Hollow Bottom","The Hollow Bottom,
Guiting Power,
Cheltenham,
GL54 5UX,","01451 539890","bookings.hollowbottom@youngs.co.uk","https://www.hollowbottom.com/"
"youngs","51.4860708","-0.18405619999998635","Hollywood Arms","Hollywood Arms
45 Hollywood Road
Chelsea
London
SW10 9HX","020 7349 7840","hollywoodarms@youngs.co.uk","http://www.hollywoodarmschelsea.com"
"youngs","51.2382821","-0.16483830000004218","Home Cottage","Home Cottage
Redstone Hill
Redhill
RH1 4AW","017 3776 2771","homecottage@youngs.co.uk","https://www.homecottageredhill.com"
"youngs","51.4595852","-0.12667799999996987","Hope and Anchor","123 Acre Lane
London
SW2 5UA","020 727 48794","hopeandanchor@youngs.co.uk","https://www.hopeandanchorbrixton.co.uk/"
"youngs","51.4554919","-2.593846699999972","Horts","Horts
49 Broad Street
Bristol
BS1 2EP","011 7925 2520","horts@youngs.co.uk","http://www.hortsbristol.com/"
"youngs","51.4861389","-0.18090349999999944","King’s Arms, Chelsea","190 Fulham Road
London
SW10 9PN","020 7351 5043","kingsarms@youngs.co.uk","http://www.thekingsarmschelsea.co.uk"
"youngs","51.7550628","-1.254298800000015","King’s Arms, Oxford","Kings Arms
40 Holywell Street
Oxford
OX1 3SP","018 6524 2369","kingsarmsoxford@youngs.co.uk","http://kingsarmsoxford.co.uk"
"youngs","51.4573609","-0.19471369999996568","King’s Arms, Wandsworth","94-96 Wandsworth High Street
London
SW18 4LB","020 3437 0006","thekingsarmswandsworth@geronimo-inns.co.uk","https://www.kingsarmswandsworth.co.uk"
"youngs","51.5382949","-0.10254980000001979","King’s Head, Islington","115 Upper Street
Islington
London
N1 1QN","020 7226 4443","kingsheadtheatre@youngs.co.uk","http://www.kingsheadtheatrepub.co.uk"
"youngs","51.4502725","-0.24068399999998746","King’s Head, Roehampton","1 Roehampton High Street
London
SW15 4HL","020 8789 1539","kingsheadsw15@youngs.co.uk","http://kingsheadsw15.co.uk"
"youngs","51.633894901713354","-0.10102272033691406","Kings Head Winchmore Hill","1 The Green,
Winchmore Hill
London
N21 1BB","020 8886 1988","kingshead@youngs.co.uk","http://www.thekingsheadn21.co.uk/"
"youngs","51.51283979999999","-0.08336880000001656","Lamb Tavern","10-12 Leadenhall Market
London
EC3V 1LR","020 7626 2454","lambtavern@youngs.co.uk","http://www.lambtavernleadenhall.com/"
"youngs","51.5230876","-0.11904730000003383","Lamb, Conduit Street","94 Lamb's Conduit Street
Bloomsbury
London
WC1N 3LZ","020 7405 0713","LambWC1@youngs.co.uk","https://www.thelamblondon.com/"
"youngs","51.0949974","-2.1291056999999682","Lamb, Hindon","High Street
Hindon
Salisbury
SP3 6DP","017 4782 0573","lambhindon@youngs.co.uk","https://www.lambhindon.co.uk/"
"youngs","51.45153819999999","-0.295459400000027","Lass O’Richmond","8 Queens Road
Richmond Hill
London
TW10 6JJ","020 8940 1306","lassorichmond@youngs.co.uk","https://www.lassorichmondhill.co.uk/"
"youngs","51.43685359999999","-0.18706670000005943","Leather Bottle","538 Garratt Lane
Earlsfield
London
SW17 0NY","020 8946 2309","leatherbottle@youngs.co.uk","http://www.leatherbottlepub.co.uk/"
"youngs","51.51374879999999","-0.0703101000000288","Leman Street Tavern","31 Leman Street
London
E1 8PT","020 3437 0001","lemanstreettavern@youngs.co.uk","http://www.lemanstreettavern.co.uk/"
"youngs","51.5480536","-0.13899449999996705","Lion and Unicorn","42-44 Gaisford Street
Kentish Town
London
NW5 2ED","020 7267 2304","lionandunicorn@youngs.co.uk","https://www.thelionandunicornnw5.co.uk/"
"youngs","51.4188777","-2.4912199999999984","Lock Keeper","Lock Keeper
Keynsham Road
Keynsham
Bristol
BS31 2DD","011 7986 2383","lockkeeper@youngs.co.uk","https://www.lockkeeperbristol.co.uk/"
"youngs","51.518905","-0.17214119999994182","Lockhouse","Lockhouse
3 Merchant Square
Paddington
London
W2 1AZ","020 7706 4253","lockhouse@youngs.co.uk","https://lockhouselondon.co.uk/"
"youngs","51.55944249999999","-0.14051559999995789","Lord Palmerston","The Lord Palmerston
133 Dartmouth Park Hill
Tufnell Park
London
NW5 1HU","020 7485 1578","lordpalmerston@youngs.co.uk","https://www.thelordpalmerston.co.uk/"
"youngs","51.4281942","-0.13222040000005109","Manor Arms","The Manor Arms
Mitcham Lane\t
South West London\t
London\t
SW16 6LQ","020 3195 6888","manorarms@youngs.co.uk","https://www.themanorarms.com/"
"youngs","51.4552187","-0.2967787000000044","Marlborough","46 Friars Stile Road
Richmond
TW10 6NQ","020 8940 8553","marlborough@youngs.co.uk","http://www.themarlboroughrichmond.co.uk/"
"youngs","51.5128904","-0.12125860000003286","Marquess of Anglesey","39 Bow Street
Covent Garden
London
WC2E 7AU","020 7240 3216","marquessofanglesey@youngs.co.uk","http://www.themarquess.co.uk/"
